PRES,PRES_QC,TEMP,PSAL,FLU2,CNDC,DENS,SVEL,CCOMD003,DOX1-1,DOX2-1,CNDC-2,OXYOCPVL-1,SPAR,PAR,PSAL-2,TEMP-2,ATTNZS01,TEMP_QC,PSAL_QC,FLU2_QC,CNDC_QC,DENS_QC,SVEL_QC,CCOMD003_QC,DOX1-1_QC,DOX2-1_QC,CNDC-2_QC,OXYOCPVL-1_QC,SPAR_QC,PAR_QC,PSAL-2_QC,TEMP-2_QC,ATTNZS01_QC
210.0,1.0,1.843,34.934,0.018,30.683,27.918,1460.72,1.057,7.851,341.116,3.066,2.276,502.62,0.051,34.91,1.844,93.184,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211.0,1.0,1.843,34.934,0.023,30.683,27.918,1460.74,1.13,7.846,340.874,3.066,2.276,503.75,0.051,34.91,1.843,93.171,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.0,1.0,1.842,34.934,0.017,30.683,27.918,1460.75,1.214,7.85,341.065,3.066,2.277,0.0,0.051,34.91,1.843,93.166,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213.0,1.0,1.842,34.934,0.02,30.683,27.918,1460.77,0.815,7.857,341.345,3.066,2.277,0.0,0.051,34.91,1.842,93.175,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214.0,1.0,1.84,34.934,0.019,30.682,27.918,1460.77,1.105,7.854,341.209,3.066,2.277,502.65,0.051,34.91,1.841,93.184,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215.0,1.0,1.837,34.934,0.024,30.679,27.918,1460.77,1.377,7.858,341.414,3.066,2.277,504.4,0.051,34.91,1.837,93.181,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216.0,1.0,1.834,34.934,0.024,30.677,27.918,1460.78,0.991,7.86,341.511,3.066,2.277,504.64,0.051,34.91,1.834,93.188,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217.0,1.0,1.832,34.934,0.024,30.676,27.918,1460.79,1.037,7.867,341.802,3.066,2.278,504.64,0.051,34.91,1.832,93.176,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218.0,1.0,1.83,34.934,0.028,30.675,27.919,1460.79,1.38,7.882,342.447,3.066,2.28,502.75,0.051,34.91,1.83,93.1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219.0,1.0,1.823,34.934,0.025,30.67,27.919,1460.78,1.023,7.886,342.629,3.065,2.28,504.38,0.051,34.91,1.824,92.993,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.0,1.0,1.82,34.933,0.02,30.667,27.919,1460.78,0.702,7.877,342.223,3.065,2.28,505.63,0.051,34.91,1.821,93.092,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221.0,1.0,1.818,34.933,0.022,30.665,27.92,1460.79,0.884,7.872,342.038,3.065,2.28,506.62,0.051,34.91,1.818,93.157,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222.0,1.0,1.815,34.933,0.021,30.664,27.92,1460.79,1.415,7.867,341.814,3.064,2.279,505.4,0.051,34.91,1.815,93.134,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223.0,1.0,1.808,34.933,0.0,30.658,27.92,1460.78,0.873,7.876,342.165,3.064,2.279,505.99,0.051,34.91,1.809,93.161,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224.0,1.0,1.804,34.933,0.0,30.655,27.92,1460.78,0.886,7.869,341.885,3.064,2.278,507.13,0.051,34.91,1.804,93.146,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225.0,1.0,1.798,34.933,0.0,30.65,27.921,1460.77,1.264,7.878,342.289,3.063,2.278,508.66,0.051,34.91,1.798,93.158,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226.0,1.0,1.794,34.933,0.0,30.647,27.921,1460.77,1.045,7.885,342.568,3.063,2.278,508.15,0.051,34.91,1.795,93.178,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227.0,1.0,1.792,34.933,0.0,30.645,27.921,1460.77,0.698,7.895,343.017,3.063,2.279,506.72,0.051,34.91,1.792,93.176,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228.0,1.0,1.79,34.933,0.022,30.644,27.921,1460.78,0.842,7.903,343.365,3.063,2.28,508.64,0.051,34.91,1.79,93.188,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229.0,1.0,1.789,34.933,0.021,30.644,27.921,1460.79,1.115,7.907,343.528,3.063,2.281,510.63,0.051,34.91,1.789,93.177,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230.0,1.0,1.788,34.933,0.021,30.643,27.922,1460.81,1.391,7.905,343.462,3.062,2.282,510.67,0.051,34.91,1.788,93.174,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231.0,1.0,1.787,34.933,0.018,30.642,27.922,1460.82,0.61,7.906,343.491,3.062,2.282,510.67,0.051,34.91,1.787,93.176,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232.0,1.0,1.783,34.933,0.0,30.64,27.922,1460.81,0.805,7.905,343.43,3.062,2.282,510.67,0.051,34.91,1.783,93.145,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233.0,1.0,1.779,34.933,0.0,30.637,27.922,1460.82,1.248,7.894,342.96,3.062,2.28,510.67,0.051,34.91,1.78,93.16,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234.0,1.0,1.776,34.933,0.0,30.635,27.922,1460.82,0.772,7.896,343.065,3.062,2.28,510.67,0.051,34.909,1.777,93.169,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235.0,1.0,1.772,34.932,0.0,30.631,27.922,1460.81,1.185,7.894,342.971,3.061,2.279,509.7,0.051,34.909,1.772,93.179,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236.0,1.0,1.77,34.932,0.0,30.63,27.922,1460.82,1.144,7.893,342.926,3.061,2.279,508.66,0.051,34.909,1.77,93.19,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.0,1.0,1.767,34.932,0.023,30.628,27.922,1460.83,1.017,7.893,342.914,3.061,2.278,508.66,0.051,34.909,1.767,93.142,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
